date,sales,tv_spend,digital_spend,radio_spend,print_spend,price,promo
2021-01-04,21609.086292884218,13218.868319017725,6325.686303682214,5615.901789251688,3105.993369907298,24007.067044401,0
2021-01-11,23612.26357171347,7840.063575038018,8456.848777557643,3658.489738107448,1037.9088836583728,23999.06525919353,0
2021-01-18,29025.418941494037,15001.804783225829,4751.76100365212,4241.982265195588,2347.708452450957,23992.890684360285,1
2021-01-25,27006.840845597744,15762.258865564856,3037.6405839574386,2555.1435696979374,1592.9217636496749,24013.330323957336,0
2021-02-01,25146.430631429437,4195.859245384654,3587.20809441907,3099.8187237888073,1715.636161959905,23997.72153316965,0
2021-02-08,26871.3971928543,6791.281972550728,4186.934838660617,1953.8642650495847,2185.325649415382,23961.529828205705,1
2021-02-15,32233.905438006233,12511.361612669141,11321.17433108791,4484.375901892279,2619.1711169753935,23985.693883130883,1
2021-02-22,27593.777006176206,10735.029630625671,3946.5333019390346,1232.5445653277015,1660.7415161159847,24023.93380241999,0
2021-03-01,30756.52828543457,11932.795369982845,8096.2230093408625,4173.525513626492,3063.8515327343584,24017.85476343825,0
2021-03-08,27564.1253204881,8587.82428970568,3742.682054782434,2714.023413742261,858.0617738575959,23988.802192828945,0
2021-03-15,32020.336913670097,15517.591899451314,8328.93253218561,4756.870640200979,2006.3390623622684,23984.14493318601,0
2021-03-22,32326.85272265832,15111.167741715793,6962.377415264658,4126.30348309689,4597.673726595833,23979.851588938396,0
2021-03-29,31117.216350266193,12264.122790244865,5608.405255854774,5730.969236470202,2223.0797426252752,23977.002731323064,0
2021-04-05,32133.056933525408,16508.964827872132,5898.093684661415,4096.162036707967,3433.214506606173,23960.301910694237,0
2021-04-12,28276.876371192186,13870.037369008183,4363.030761426524,641.9396165201388,2091.520178173208,23968.995327831384,0
2021-04-19,29767.483284944825,8562.830148467046,7115.180503705202,2899.570240652699,2580.777095329797,23976.862938460676,0
2021-04-26,26591.978134453315,13475.003136329995,4862.54129914805,1241.989211107776,1943.2168056073085,23954.446854163383,0
2021-05-03,24842.87208059972,8164.4695966840045,2935.9855905818795,2222.580236450588,1829.5924188357956,23964.934805138808,0
